OSEBuildingID,DataYear,BuildingName,BuildingType,TaxParcelIdentificationNumber,Address,City,State,ZipCode,Latitude,Longitude,Neighborhood,CouncilDistrictCode,YearBuilt,NumberofFloors,NumberofBuildings,PropertyGFATotal,PropertyGFABuilding(s),PropertyGFAParking,PrimaryPropertyType,ENERGYSTARScore,SiteEUIWN(kBtu/sf),SiteEUI(kBtu/sf),SiteEnergyUse(kBtu),SiteEnergyUseWN(kBtu),SourceEUIWN(kBtu/sf),SourceEUI(kBtu/sf),LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,Electricity(kWh),Electricity(kBtu),NaturalGas(therms),NaturalGas(kBtu),SteamUse(kBtu),TotalGHGEmissions,GHGEmissionsIntensity,ComplianceStatus,ComplianceIssue
69,2018,HOLIDAY INN EXPRESS - DOWNTOWN SEATTLE,NonResidential,1991200940,226 AURORA AVE N,SEATTLE,WA,98109,47.62025,-122.34314,LAKE UNION,1,1997,6,0,116300,88100,28200,Hotel,85,60.6,60.6,5358454,5358454,123.4,123.4,Hotel,88490,NA,,NA,,886436,3024518,23339,2333936,0,132,1.5,Compliant,No Issue
70,2018,HOMEWOOD SUITES HOTEL - SEATTLE,NonResidential,1992200235,206 WESTERN AVE W,SEATTLE,WA,98119,47.62023,-122.35951,MAGNOLIA / QUEEN ANNE,1,1998,6,0,155602,118858,36744,Hotel,95,45.7,45.6,7105433,7099446,92.6,92.4,Hotel,155602,NA,,NA,,1160748,3960472,31390,3138974,0,177.3,1.5,Compliant,No Issue
82,2018,WA DEPT OF SOCIAL & HEALTH SERVICES,NonResidential,2254501944,1700 E CHERRY ST,SEATTLE,WA,98122,47.60823,-122.30956,CENTRAL,3,1962,2,0,54984,54984,0,Office,62,66.1,63.8,3633946,3510100,128.5,126.2,Office,54984,NA,,NA,,544540,1857972,16521,1652128,0,92.7,1.7,Compliant,No Issue
84,2018,PROVIDENCE MT ST VINCENT,NonResidential,2324039001,4831 35TH AVE SW,SEATTLE,WA,98126,47.55837,-122.37751,SOUTHWEST,1,1922,5,0,371257,296313,74944,Senior Care Community,57,149.1,144.6,44165828,42848800,224.9,220.2,Senior Care Community,296313,Parking,0,NA,,3393000,11576916,312719,31271884,0,1691.8,5.7,Compliant,No Issue
85,2018,FOSS HOME AND VILLAGE,NonResidential,2426039059,13023 GREENWOOD AVE N,SEATTLE,WA,98133,47.72426,-122.35599,NORTHWEST,5,1970,2,0,93397,93397,0,Senior Care Community,1,173.3,172.4,16182456,16100519,284,282.7,Senior Care Community,93397,NA,,NA,,1590832,5427919,106726,10672602,0,581.3,6.2,Compliant,No Issue
86,2018,SCCA - ALLIANCE HOUSE,NonResidential,2467400430,207 PONTIUS AVE N,SEATTLE,WA,98109,47.61988,-122.33211,LAKE UNION,7,2008,6,0,84103,63371,20732,Hotel,76,66.1,65.7,4186683,4162604,158.7,158.3,Hotel,63371,Parking,20732,NA,,948464,3236160,9264,926443,0,57.8,0.9,Compliant,No Issue
87,2018,ARBOR HEIGHTS ELEMENTARY SCHOOL (SPS-DISTRICT),SPS-District K-12,2518400005,3701 SW 104TH ST,SEATTLE,WA,98146,47.5097,-122.37759,SOUTHWEST,1,1948,2,0,53352,53352,0,K-12 School,100,7.8,7.8,704390,704390,21.7,21.7,K-12 School,90763,NA,,NA,,206445,704390,0,0,0,1.9,0,Account Requires Verification,Low Outlier - EUI
89,2018,POLYCLINIC MEDICAL OFFICE,NonResidential,1978201270,1200 HARVARD AVE,SEATTLE,WA,98122,47.61244,-122.3214,EAST,1,1965,3,2,241014,119305,121709,Medical Office,63,93.7,91,16768501,16293902,185.7,182.9,Medical Office,179014,Parking,150475,NA,,2618000,8932616,73613,7361286,0,414.8,3.5,Compliant,No Issue
100,2018,CITY PLACE III (Obidos/Rufus),NonResidential,1983200325,551 BOREN AVE N,SEATTLE,WA,98109,47.62424,-122.33646,LAKE UNION,1,2010,5,2,317687,166961,150726,Office,90,54.2,53.9,15574155,15489316,134.3,134.1,Office,247882,Parking,150726,Retail Store,26464,3728756,12722515,27668,2766801,0,180.9,1.1,Compliant,No Issue
102,2018,MARRIOTT RESIDENCE INN,NonResidential,1984200065,800 FAIRVIEW AVE N,SEATTLE,WA,98109,47.62642,-122.33325,LAKE UNION,1,1990,7,0,282863,238097,44766,Hotel,73,76,74.7,18145262,17842512,146.1,144.8,Hotel,238793,Parking,51537,NA,,2652970,9051934,87906,8790580,0,491,2.1,Compliant,No Issue
107,2018,CITY PLACE IV (Ruby/Dawson),NonResidential,1986200410,301 BOREN AVE N,SEATTLE,WA,98109,47.62112,-122.33629,LAKE UNION,7,2010,12,0,571329,571329,0,Office,88,60.3,60.2,37659228,37603100,149.4,149.1,Office,598801,Parking,310699,Other,26203,8994728,30690012,69131,6913089,0,449.1,0.8,Compliant,No Issue
114,2018,BILL & MELINDA GATES FOUNDATION,NonResidential,1988201155,500 5TH AVE N,SEATTLE,WA,98109,47.62419,-122.34443,MAGNOLIA / QUEEN ANNE,7,2010,6,0,920598,616891,303707,Office,83,49.9,49.5,36720756,36406928,116,116.2,Office,729584,Parking,185014,Other,6000,7913267,27000067,94069,9406863,0,571.7,0.9,Compliant,No Issue
115,2018,SCRIPPS BUILDING - 221 FIRST AVENUE WEST,NonResidential,1989200850,221 1ST AVE W,SEATTLE,WA,98119,47.62053,-122.35842,MAGNOLIA / QUEEN ANNE,7,1970,4,0,76213,50283,25930,Office,63,63.7,62.5,3244416,3185760,153.3,152.1,Office,48546,Parking,21454,Other,2406,737629,2516791,6690,668970,0,42.2,0.8,Compliant,No Issue
116,2018,THE MEDITERRANEAN INN,NonResidential,1989201125,425 QUEEN ANNE AVE N,SEATTLE,WA,98109,47.62291,-122.35708,MAGNOLIA / QUEEN ANNE,1,2002,6,0,127200,81560,45640,Hotel,65,69.1,68.9,5637579,5621753,127.2,126.6,Hotel,79696,Parking,45640,Other - Restaurant/Bar,1864,740931,2528057,30937,3093696,0,171.1,2.1,Compliant,No Issue
117,2018,UNIVERSITY INN,NonResidential,1142001871,4140 ROOSEVELT WAY NE,SEATTLE,WA,98105,47.65772,-122.31756,NORTHEAST,1,1962,4,0,71403,60953,10450,Hotel,34,88,87.4,5361037,5329954,151.3,150.8,Hotel,52953,Restaurant,8000,Parking,0,601690,2052966,32770,3276988,0,179.5,2.9,Compliant,No Issue
118,2018,PATHFINDER/COOPER SCHOOL (SPS-DISTRICT),SPS-District K-12,1324039116,1901 SW GENESEE ST,SEATTLE,WA,98106,47.5636,-122.358,DELRIDGE NEIGHBORHOODS,1,1999,3,0,74468,74468,0,K-12 School,82,27.2,26.7,2046344,2012943,66.6,65.3,K-12 School,75364,NA,,NA,,470821,1606440,4065,406503,0,25.9,0.3,Compliant,No Issue
119,2018,ST JOSEPH K-8 SCHOOL,NonResidential,1336800825,700 18TH AVE E,SEATTLE,WA,98112,47.62548,-122.30828,EAST,1,1923,3,0,67743,67743,0,K-12 School,19,53.8,50.7,3642282,3435753,100.1,96.2,K-12 School,67743,NA,,NA,,487332,1662776,17730,1772976,0,98.6,1.5,Compliant,No Issue
121,2018,THE 2100 BUILDING,NonResidential,1498303116,2100 24TH AVE S,SEATTLE,WA,98144,47.58408,-122.30125,SOUTHEAST,3,2003,3,0,99433,63681,35752,Office,53,81.6,80.5,5195504,5128164,228.4,225.5,Office,63681,Parking,35752,NA,,1502979,5128164,0,0,0,13.7,0.2,Compliant,No Issue
122,2018,MUIR ELEMENTARY SCHOOL(SPS-DISTRICT),SPS-District K-12,1524049002,3301 S HORTON ST,SEATTLE,WA,98144,47.57324,-122.29058,SOUTHEAST,1,1991,2,0,60725,60725,0,K-12 School,47,35.4,34,2152186,2061667,99.2,95.1,K-12 School,60725,NA,,NA,,604240,2061666,0,0,0,5.5,0.1,Compliant,No Issue
125,2018,MERCER MIDDLE (SPS-DISTRICT),SPS-District K-12,1624049214,1600 S COLUMBIAN WAY,SEATTLE,WA,98108,47.56413,-122.31208,GREATER DUWAMISH,1,1957,1,0,130862,130862,0,K-12 School,59,49.7,47.1,6921308,6554594,79.6,76.1,K-12 School,139310,NA,,NA,,622792,2124965,44296,4429630,0,240.9,1.8,Compliant,No Issue
127,2018,ORCA AT WHITWORTH ELEMENTARY SCHOOL (SPS-DISTRICT),SPS-District K-12,1704900242,5215 46TH AVE S,SEATTLE,WA,98118,47.55478,-122.27596,SOUTHEAST,2,1989,3,0,59955,59955,0,K-12 School,71,26.9,26.3,1614727,1575261,71.2,69.6,K-12 School,59955,NA,,NA,,422345,1441041,1342,134220,0,11,0.2,Compliant,No Issue
130,2018,MCCLURE MIDDLE (SPS-DISTRICT),SPS-District K-12,1794501220,1915 1ST AVE W,SEATTLE,WA,98119,47.63683,-122.35896,MAGNOLIA / QUEEN ANNE,7,1964,2,0,93218,93218,0,K-12 School,73,32.5,31.1,3034159,2900274,61,59.5,K-12 School,93218,NA,,NA,,419215,1430360,14699,1469914,0,81.9,0.9,Compliant,No Issue
136,2018,HOLIDAY INN EXPRESS - SEATTLE NORTH,NonResidential,1926049012,14115 AURORA AVE N,SEATTLE,WA,98133,47.73141,-122.3458,NORTHWEST,5,2001,4,0,51390,51390,0,Hotel,84,79.4,79.4,4082248,4082248,132.7,132.7,Hotel,51390,Parking,0,NA,,424105,1447046,26352,2635202,0,143.8,2.8,Compliant,No Issue
137,2018,BROADVIEW THOMSON K-8 (SPS-DISTRICT),SPS-District K-12,1926049025,13052 GREENWOOD AVE N,SEATTLE,WA,98133,47.72463,-122.35315,NORTHWEST,1,1963,2,0,131013,131013,0,K-12 School,91,34.2,33.9,4513635,4472441,57,56.6,K-12 School,131909,NA,,NA,,464426,1584621,28878,2887820,0,157.6,1.2,Compliant,No Issue
138,2018,INGRAHAM HIGH (SPS-DISTRICT),SPS-District K-12,1926049321,1819 N 135TH ST,SEATTLE,WA,98133,47.7257,-122.33684,NORTHWEST,1,1959,1,0,245587,245587,0,K-12 School,90,41.1,40.6,10250726,10121895,65.9,65.3,K-12 School,249171,NA,,NA,,946489,3229420,68925,6892475,0,374.7,1.5,Compliant,No Issue
139,2018,7066-Seattle-Northgate,NonResidential,1926049434,13300 STONE AVE N,SEATTLE,WA,98133,47.72529,-122.34115,NORTHWEST,1,2002,3,0,69138,69138,0,Hotel,84,42.8,42.6,3020059,3010748,88,87.8,Hotel,70609,NA,,NA,,509217,1737448,12733,1273300,0,72.3,1,Compliant,No Issue
140,2018,B F DAY ELEMENTARY (SPS-DISTRICT),SPS-District K-12,1931301145,3921 LINDEN AVE N,SEATTLE,WA,98103,47.65464,-122.34912,LAKE UNION,1,1991,3,0,66588,66588,0,K-12 School,79,25.4,24.8,1693095,1652397,71.2,69.5,K-12 School,66588,NA,,NA,,484290,1652396,0,0,0,4.4,0.1,Compliant,No Issue
148,2018,WEST WOODLAND PARK ELEMENTARY (SPS-DISTRICT),SPS-District K-12,2768000375,5601 5TH AVE NW,SEATTLE,WA,98107,47.6706,-122.36225,SHARED: BALLARD &amp; NORTHWEST,6,1991,2,0,55513,55513,0,K-12 School,76,24.1,23.4,1490934,1444802,67.6,65.5,K-12 School,61785,NA,,NA,,423447,1444801,0,0,0,3.9,0.1,Compliant,No Issue
168,2018,HAMPTON INN & SUITES,NonResidential,5458300285,700 5TH AVE N,SEATTLE,WA,98109,47.62614,-122.3467,MAGNOLIA / QUEEN ANNE,1,1996,4,0,162222,148022,14200,Hotel,97,50,50,5686356,5686356,99,99,Hotel,113702,Parking,32692,NA,,884936,3019403,26670,2666953,0,149.7,1,Compliant,No Issue
169,2018,FRANKLIN HIGH SCHOOL (SPS-DISTRICT),SPS-District K-12,5700000455,3013 S MOUNT BAKER BLVD,SEATTLE,WA,98144,47.57589,-122.29365,SOUTHEAST,2,1990,4,0,289588,289588,0,K-12 School,93,25.8,25,7463115,7245292,58.1,57.3,K-12 School,289588,NA,,NA,,1505188,5135701,21096,2109592,0,125.8,0.4,Compliant,No Issue
175,2018,GARFIELD HIGH (SPS-DISTRICT),SPS-District K-12,6840701230,400 23RD AVE,SEATTLE,WA,98122,47.60598,-122.30156,CENTRAL,3,2008,3,0,254523,254523,0,K-12 School,66,44.9,43.2,11588689,11138574,93,90.6,K-12 School,258107,NA,,NA,,1956338,6675025,44635,4463548,0,254.9,1,Compliant,No Issue
176,2018,EMERSON ELEMENTARY SCHOOL (SPS-DISTRICT),SPS-District K-12,7129302300,9709 60TH AVE S,SEATTLE,WA,98118,47.51482,-122.25864,SOUTHEAST,1,2001,3,0,78804,78804,0,K-12 School,68,32.8,32,2584698,2521479,70.9,70.1,K-12 School,78804,NA,,NA,,481195,1641838,8796,879641,0,51.1,0.6,Compliant,No Issue
177,2018,MADRONA SCHOOL (SPS-DISTRICT),SPS-District K-12,7152200350,1121 33RD AVE,SEATTLE,WA,98122,47.61224,-122.29087,CENTRAL,1,2002,3,0,66994,66994,0,K-12 School,78,29.9,29.3,2038272,1994152,71,70.3,K-12 School,68127,NA,,NA,,451218,1539557,4546,454595,0,28.3,0.4,Compliant,No Issue
178,2018,VAN ASSELT ELEMENTARY @ AAA  (SPS-DISTRICT),SPS-District K-12,7243500230,8311 BEACON AVE S,SEATTLE,WA,98118,47.52915,-122.28904,GREATER DUWAMISH,1,2000,3,0,98357,98357,0,K-12 School,78,35.4,34.1,3480769,3357365,67.4,66.1,K-12 School,98357,NA,,NA,,497707,1698177,16592,1659188,0,92.7,0.9,Compliant,No Issue
183,2018,"EMERSON HALL, SEATTLE PACIFIC UNIVERSITY",Multifamily LR (1-4),7443000375,362 W EMERSON ST,SEATTLE,WA,98119,47.65068,-122.36331,MAGNOLIA / QUEEN ANNE,7,2001,4,0,139600,102100,37500,Residence Hall/Dormitory,89,35.1,33.7,4759197,4563306,67.3,65.1,Residence Hall/Dormitory,135520,NA,,NA,,675971,2306412,22569,2256894,0,126,1.2,Compliant,No Issue
185,2018,NATHAN HALE HIGH (SPS-DISTRICT),SPS-District K-12,2826049152,10750 30TH AVE NE,SEATTLE,WA,98125,47.70763,-122.29453,NORTH,1,2011,2,0,236758,236758,0,K-12 School,86,29.5,28.4,7151396,6870815,60.2,58.5,K-12 School,242134,Parking,0,NA,,1162735,3967252,29036,2903562,0,164.8,0.7,Compliant,No Issue
189,2018,GREENWOOD ELEMENTARY (SPS-DISTRICT),SPS-District K-12,2919200635,144 NW 80TH ST,SEATTLE,WA,98117,47.68725,-122.35996,NORTHWEST,6,2002,3,0,62526,62526,0,K-12 School,76,33,31.6,2065849,1975738,67.4,65.4,K-12 School,62526,NA,,NA,,337723,1152311,8234,823428,0,46.8,0.7,Compliant,No Issue
190,2018,WEBSTER ST BUILDING (CEDAR GROVE),NonResidential,2924049043,7343 E MARGINAL WAY S,SEATTLE,WA,98108,47.536,-122.31768,GREATER DUWAMISH,1,2007,3,0,64015,64015,0,Mixed Use Property,37,39.9,39.5,2418106,2392246,100.9,100.4,Office,24419,Non-Refrigerated Warehouse,21720,Other - Services,14480,598930,2043548,3487,348698,0,24,0.4,Compliant,No Issue
197,2018,NORDSTROM NORTHGATE 002,NonResidential,2926049528,301 NE NORTHGATE WAY,SEATTLE,WA,98125,47.70619,-122.32586,NORTH,1,1965,4,0,124342,124342,0,Retail Store,30,71,71.9,8667062,8771484,196.9,199.5,Retail Store,122000,NA,,NA,,2532896,8642241,1292,129243,0,29.9,0.2,Compliant,No Issue
